Timestamp,Open,OpenScaled,High,Low,Close,CloseScaled,Volume,EMA_20,EMA_40,EMA_200,RSI,MACD,Signal,PercentChange
2023-10-18,434.19,43419,435.18,429.09,430.21,43021,93559798,429.0448232,440.2813752,484.6714761,43.55333845,-7.688147669,-9.460722319,-14
2023-10-17,432.81,43281,438.14,432.45,436.02,43602,75324708,429.7091258,440.0735032,484.1873818,50.29105662,-6.228542502,-8.814286356,-1
2023-10-16,433.82,43382,437.14,433.57,436.04,43604,75433194,430.3120662,439.876747,483.7083034,51.21163166,-5.012401217,-8.053909328,10
2023-10-13,435.21,43521,436.45,429.88,431.5,43150,95201132,430.4252027,439.4681252,483.1888178,50.65696023,-4.364627832,-7.316053029,-5
2023-10-12,436.95,43695,437.335,431.23,433.66,43366,81154230,430.7332786,439.184802,482.6959937,60.91703057,-3.635066031,-6.579855629,-7
2023-10-11,435.64,43564,436.58,433.18,436.32,43632,62451736,431.2653473,439.0450556,482.234541,68.64965006,-2.809853041,-5.825855112,4
2023-10-10,432.94,43294,437.22,432.53,434.54,43454,78607268,431.577219,438.8252968,481.7599685,69.84293194,-2.273291832,-5.115342456,5
2023-10-09,427.58,42758,432.88,427.0101,432.29,43229,80374362,431.6451029,438.5065018,481.26773,73.96318474,-2.006489838,-4.493571932,6
2023-10-06,421.97,42197,431.125,420.6,429.54,42954,113273309,431.4446169,438.0691115,480.7530262,68.47944312,-1.993964175,-3.993650381,11
2023-10-05,424.36,42436,425.37,421.1701,424.5,42450,70142744,430.7832248,437.4072036,480.1932946,57.55270593,-2.363478665,-3.667616038,-1
2023-10-04,422.07,42207,425.4299,420.56,424.66,42466,87452968,430.2000606,436.7853888,479.6407245,51.28460963,-2.613286558,-3.456750142,7
2023-10-03,425.06,42506,427.3729,420.18,421.59,42159,103760607,429.3800548,436.0441503,479.0631054,51.41285321,-3.024124233,-3.37022496,-14
2023-10-02,426.62,42662,428.6,424.46,427.31,42731,83798599,429.1829067,435.6180942,478.5481491,56.80302357,-2.855246352,-3.267229238,-1
2023-09-29,431.67,43167,431.85,425.91,427.48,42748,115111319,429.0207251,435.221114,478.0400083,51.31545978,-2.676834949,-3.14915038,-3
2023-09-28,425.48,42548,430.2499,424.87,428.52,42852,92258308,428.973037,434.8942304,477.5472719,47.72666129,-2.42358573,-3.00403745,5
2023-09-27,427.09,42709,427.67,422.29,426.05,42605,104705847,428.6946525,434.4628045,477.0348612,35.26455808,-2.394588926,-2.882147746,0
2023-09-26,429.09,42909,429.82,425.02,425.88,42588,96168436,428.4265904,434.0441311,476.5258576,35.05002943,-2.358143124,-2.777346821,-15
2023-09-25,429.17,42917,432.27,428.72,432.23,43223,70874534,428.7888199,433.9556369,476.0851028,51.01983794,-1.796162588,-2.581109974,4
2023-09-22,432.45,43245,434.1,429.99,430.42,43042,100829684,428.9441704,433.7831668,475.6307237,45.42889391,-1.479782822,-2.360844544,-3
2023-09-21,435.7,43570,435.97,431.23,431.39,43139,104095826,429.1771065,433.666427,475.1905175,42.6962963,-1.137664398,-2.116208515,-17
2023-09-20,444.01,44401,444.435,438.43,438.64,43864,82562602,430.0783345,433.9090403,474.8268308,55.22692504,-0.278310482,-1.748628908,-10
2023-09-19,442.68,44268,443.29,439.94,442.71,44271,66514648,431.2813502,434.3383554,474.5072603,62.69493177,0.722816494,-1.254339828,-3
2023-09-18,443.05,44305,444.97,442.56,443.63,44363,55752213,432.4574121,434.7916064,474.2000239,67.96735527,1.572328324,-0.689006197,0
2023-09-15,447.14,44714,447.48,442.92,443.37,44337,111848859,433.4967062,435.2100646,473.8932575,77.40342724,2.199241259,-0.111356706,-16
2023-09-14,449.07,44907,451.08,447.715,450.36,45036,83430814,435.1027342,435.9490858,473.6590957,81.1439651,3.22295662,0.555505959,8
2023-09-13,446.22,44622,447.71,445.0793,446.51,44651,60199272,436.1891405,436.4642524,473.3889554,79.63843958,3.681161458,1.180637059,1
2023-09-12,446.95,44695,448.53,445.39,445.99,44599,67565422,437.1225557,436.928923,473.116329,75.35287731,3.956721813,1.73585401,-6
2023-09-11,448.24,44824,448.77,446.4699,448.45,44845,60180118,438.2013599,437.4909267,472.8708929,76.79529773,4.323765147,2.253436237,6
2023-09-08,444.9,44490,447.11,444.53,445.52,44552,62068437,438.8983732,437.8825889,472.5987447,70.72159922,4.32832884,2.668414758,1
2023-09-07,443.11,44311,445.55,442.75,444.85,44485,70355426,439.4651948,438.2224626,472.3226378,73.96736359,4.229131405,2.980558087,-4
2023-09-06,448.4,44840,448.51,443.81,446.22,44622,70758512,440.1085096,438.6125863,472.0629101,75.16081148,4.212505137,3.226947497,-7
2023-09-05,450.73,45073,451.06,449.17,449.24,44924,55166210,440.9781753,439.1309968,471.8358164,72.93070909,4.392384782,3.460034954,-5
2023-09-01,453.17,45317,453.67,449.68,451.19,45119,58944098,441.9507301,439.7192408,471.6303854,77.89417137,4.638816017,3.695791167,1
2023-08-31,451.65,45165,452.83,450.16,450.35,45035,66084563,442.7506605,440.2378144,471.4186403,75.55256065,4.712016374,3.899036208,-2
2023-08-30,449.51,44951,451.67,448.78,451.01,45101,69053911,443.5372643,440.7632869,471.2155693,70.27204195,4.768318462,4.072892659,4
2023-08-29,442.65,44265,449.45,442.46,449.16,44916,83081916,444.0727629,441.1728827,470.9961109,61.39978791,4.610511625,4.180416452,14
2023-08-28,442.24,44224,443.4,439.9728,442.76,44276,61595393,443.9477379,441.250303,470.7151545,48.71187444,3.923791037,4.129091369,6
2023-08-25,438.68,43868,441.3,435,439.97,43997,102325103,443.5689057,441.1878492,470.4092326,45.31680441,3.118482416,3.926969578,7
2023-08-24,444.69,44469,445.22,436.855,436.89,43689,88517272,442.9328195,440.978198,470.0757079,29.20654523,2.206306346,3.582836932,-14
2023-08-23,439.25,43925,443.67,439.1,443.03,44303,68441021,442.9420747,441.0782859,469.8065964,44.98269896,1.956295963,3.257528738,11
2023-08-22,441.18,44118,441.18,437.57,438.15,43815,65062861,442.4856867,440.9354427,469.4916054,39.95901639,1.348837161,2.875790423,-3
2023-08-21,437.55,43755,440.11,435.32,439.34,43934,68718957,442.1860975,440.8576162,469.1915894,37.94016415,0.952465312,2.491125401,6
2023-08-18,433.37,43337,437.57,433.01,436.5,43650,98851960,441.6445644,440.6450496,468.8662999,38.03078556,0.404510555,2.073802431,0
2023-08-17,441.16,44116,441.43,435.75,436.29,43629,95711315,441.1346059,440.4326082,468.5421577,38.50080602,-0.046160671,1.649809811,-8
2023-08-16,442.46,44246,444.18,439.53,439.64,43964,80107206,440.9922625,440.3939443,468.254574,41.60714286,-0.131488149,1.293550219,-8
2023-08-15,446.27,44627,446.64,442.3,442.89,44289,75707534,441.1729994,440.5157032,468.0021902,41.94775552,0.062417539,1.047323683,-12
2023-08-14,444.7,44470,448.11,444.38,448.11,44811,47867441,441.8336661,440.8861567,467.8042579,46.39344262,0.630036895,0.963866325,5
2023-08-11,443.97,44397,446.7007,443.345,445.65,44565,68690902,442.1971265,441.1185393,467.5838176,44.69765343,0.871333691,0.945359798,-1
2023-08-10,448.19,44819,451.7,444.7,445.91,44591,93005495,442.5507335,441.3522691,467.3681577,44.19398907,1.071194899,0.970526819,0
2023-08-09,449.03,44903,449.1999,444.96,445.75,44575,78789575,442.8554255,441.5667925,467.1530516,45.96258584,1.202810433,1.016983541,-7
2023-08-08,448.08,44808,450.6952,445.2705,448.75,44875,71361324,443.4168136,441.9171929,466.9699367,57.71310842,1.531537015,1.119894236,-5
2023-08-07,448.71,44871,450.865,447.99,450.71,45071,58357464,444.1114027,442.3461103,466.8081463,64.13157895,1.927986195,1.281512628,8
2023-08-04,450.72,45072,452.895,446.27,446.81,44681,100128902,444.368412,442.563861,466.6091597,62.77691911,1.905512063,1.406312515,-5
2023-08-03,448.04,44804,450.79,447.37,448.84,44884,64419692,444.7942775,442.8700141,466.4323522,58.36934601,2.028126209,1.530675254,-3
2023-08-02,453.25,45325,453.52,449.3499,450.13,45013,93933369,445.3024416,443.2241598,466.2701397,69.24807198,2.203984857,1.665337174,-14
2023-08-01,456.27,45627,457.25,455.49,456.48,45648,55502199,446.3669709,443.8707861,466.1727254,73.62183021,2.823201919,1.896910123,-3
2023-07-31,457.41,45741,458.16,456.045,457.79,45779,62040449,447.4548785,444.5497722,466.0893152,80.63309353,3.380671675,2.193662434,1
2023-07-28,455.88,45588,457.78,452.4918,456.92,45692,80011790,448.3563186,445.1531979,465.9980782,79.13018921,3.709507846,2.496831516,9
2023-07-27,459.02,45902,459.44,451.55,452.49,45249,92194375,448.7500026,445.5110907,465.8636695,67.60756372,3.571479116,2.711761036,-7
2023-07-26,454.47,45447,456.99,453.38,455.51,45551,71052885,449.3938118,445.9988424,465.7606479,67.40209597,3.663548013,2.902118432,0
2023-07-25,453.92,45392,456.735,453.87,455.44,45544,55191240,449.9696393,446.4593867,465.6579549,61.78077788,3.688347884,3.059364322,2
2023-07-24,453.37,45337,455.04,452.298,454.2,45420,54023382,450.3725308,446.8369776,465.5439454,64.30244229,3.566828148,3.160857087,4
2023-07-21,453.96,45396,454.165,452.17,452.18,45218,71275618,450.5446707,447.0976128,465.4109708,59.90521327,3.269833163,3.182652302,0
2023-07-20,454.17,45417,455.1,451.44,452.18,45218,70591642,450.7004164,447.3455341,465.2793194,60.20959035,2.999881728,3.146098188,-7
2023-07-19,455.01,45501,456.43,454.1119,455.2,45520,65891688,451.1289481,447.7286788,465.1790276,60.23484608,2.995106311,3.115899812,2
